pkid,name
93ea0497-d3dd-6f6e-ccce-5c69d552fcd1,FXE-FIELD-A-LAXRC-rl
9fead07d-be23-eafc-5cc0-81d51503fe30,FXE-FIELD-A-SMFGAO-rl
7bb9445f-7577-43f4-9cdc-ce021d3f3256,JVIS3_local-t1_rl
1fa76164-60d9-4a8b-a10e-3c0113523ea2,FXE-FIELD-A-BIL-rl
b4ffdd8b-eb3a-4811-974d-1348fc35c39d,FXE-FIELD-A-VLDA-rl
eb3fa029-601b-4d00-8fde-4e31f7b79d37,FXE-FIELD-A-BFMR-rl
b767ca10-caec-4fd7-8612-428318c3888a,FXE-FIELD-A-ILMA-rl
7acdd597-02f8-4013-acc3-d492e405e0d5,FXE-FIELD-A-SMFR-rl
7399d385-b2e4-43b4-a0dc-4e2329deb645,FXE-FIELD-A-RDMA-rl
5faf8e96-7f88-40a2-ab13-6e787c898f6f,FXE-FIELD-A-UKIA-rl
5c3eaebb-5423-4a75-8664-8e68a95e891d,FXE-FIELD-A-BCBA-rl
d4067df4-8078-4ff1-8e7d-a8673198c544,FXE-FIELD-A-CMHA-rl
1acc16ab-0709-4f6a-9fe2-20547b911fbf,FXE-FIELD-A-BOWA-rl
db535520-6329-4277-a5a8-11bbd652b8f8,FXE-FIELD-A-MSYA-rl
38e8b9e9-bfba-40f5-948e-33f2d8720da1,FXE-FIELD-A-WALA-rl
2be781a3-1b37-4d2c-93dc-dc1e0cd39e00,YUMA_Local-T1_rl
95b85c30-7e17-4f21-aa13-59b0dab700ef,FXE-FIELD-A-SDFR-rl
77488aa5-0a67-4ab2-9bec-679e48bd86d3,FXE-FIELD-A-SUXA-rl
deab9261-0612-4c95-b05d-af147a05f36a,FXE-FIELD-A-MSYR-rl
fb1c3805-f773-4532-9e01-31119b804f4f,FXE-FIELD-A-GYYA-rl
13dceec8-a5ef-491b-8868-581d7c8d1c2e,FXE-FIELD-A-BDLR-rl
e82b269d-a7b0-471e-9fb4-cca6a06c4fa1,FXE-FIELD-A-SPSA-rl
1ca4f68a-f1b0-4c50-8f89-381b5b235afd,FXE-FIELD-A-SSIA-rl
a5337429-a8de-481a-b8a4-793b251d9317,FXE-FIELD-A-SJCR-rl
1004a7a7-0e9b-4c13-8e91-8e0a5eca58a9,FXE-FIELD-A-LOUA-rl
