pkid,fkdevicepool,fkregion
679c88db-6a86-4e39-b05c-45044819c699,3f170828-cb6a-42ff-b8a6-d12163a28233,a0f5964c-8859-cff1-c38a-ed1c8954c760
3ba6ff3f-b957-4ec0-a1a7-4829d9481406,2cb2f9b4-f5a4-4404-aac7-0c199ae34a01,a2a81194-7718-051f-baa4-9dc4291ce04d
8348987b-3bd2-4514-a5c3-3c1b1a68e284,275bfbb2-b97c-4cb8-b2ff-d9cbe56d45a1,1eaba410-a475-89e2-1220-a8010df470fe
c515f254-5a71-45ff-b776-e0e9703d01f8,2d2ab2d2-9b73-431a-9cde-21ed2d0bd06b,adbff42b-1caf-2b20-867d-432f28a621c3
dee3bd43-cbca-4eb6-9f7c-4ba9ec6e5066,2d3bf2ea-2842-43e6-a40e-6e3235662dc4,cf8a152e-f2c1-aef2-4ca4-8e4c25d1c7ac
2941be7f-65f1-417d-9f68-70556580ae7d,2ba58c8f-ac43-49be-90d0-17bbf22cc2eb,8f6939f4-9285-8656-ad0e-d471ff9f3aec
9433c689-37d7-41ad-875c-165438ef012d,2ba39179-68ef-41fb-935f-042f45f5ab8a,17b365ac-465f-1a32-9807-816322caa89e
67415200-94fe-49e7-be9f-264e7b8069c1,3d5320ec-70eb-2fc1-ee7a-24bf099c4304,e3f2840f-f248-dfb6-ddd7-68f81534f776
be39417c-bc64-49f5-8285-f9108258b573,3f033265-c166-4e27-8b58-cfeaaf3518de,aa6ab593-69f0-6bb7-f847-a55ef0f3319b
c2122da4-7528-43ab-b73c-5f0daada581a,4033130b-de42-b9ad-f73c-9a19332efe19,6cc9516f-9646-3716-720d-a6e4035cb643
a62a0b78-5ed7-4b8e-b10a-f280ce5f23c4,46be71c8-d9ff-d8a3-d411-571f8abda45a,863f468e-33a2-457a-fb1d-bfe5db68b24c
79d61a8d-3583-4daf-9250-db6cfba143af,2dd75d87-961e-46da-824a-9ef30cfa0f88,a2a81194-7718-051f-baa4-9dc4291ce04d
b0d62d82-2599-48e6-bb40-a145271489d6,3019d70b-b5fe-43b6-97d8-b26859b9495d,a2a81194-7718-051f-baa4-9dc4291ce04d
41f61c17-a321-4c28-8910-e372d1b78bac,2dd6a3e4-3630-4848-88d5-74801ccdd6d4,21a5f436-3ed4-7521-0450-2a4e86531707
e998c0a5-ccf1-4ee7-81d1-95e2a1705cc5,2e0e86fd-0c4d-4e9c-a9a2-5ad59afacc61,e3a336da-9027-c8ce-ba3d-59e77ef0eecc
39f88032-20a7-43d4-8b5d-a68a8372c4c2,3062c528-7dc0-45e8-975a-05d7845bae72,948c55c1-629f-ac7e-6d46-74bc2bfd5390
058b7794-a8f0-4492-8be8-aa7775982552,41d38d6f-54b9-49df-9c15-edb057664664,2534ea7f-289f-b9d5-8048-513d58ad1723
d044ba61-d7f1-4ba2-82a6-6da5a65448ab,43ac2bcf-ab3c-489e-aaa5-0b98b842c00d,9f9de948-ac45-98ca-1403-4f25bc79cc5a
54041ffb-3a50-4a5b-a66a-dbc50fc69019,4488522a-f080-4a33-a1f8-2f9adcb664f6,2caa9f38-300d-f6e7-b2af-77f42f69f0a1
f84e6dcf-6048-47c8-95f2-77c31b86e772,4350276e-4af3-418f-99c7-87dd18c2f35c,bb1bc6b4-75b3-51a9-0910-f3199abf1902
e0fcb66d-b78c-4c8b-9f93-fc1cc578e0b2,417cc726-3c85-4c26-b2a0-dc6921bdcde1,0c3f3f48-190e-6c58-3e65-fc917d292f36
2ed608b7-a39e-4cd3-aa15-c4934a49a05b,424864ed-c344-baef-5b0e-0c85ccb7b7c4,f0f2a879-6609-7448-2f48-87be7fbec929
478782c3-55a6-4ba1-8b6c-30f1316fcf1e,417933e3-459f-4ff9-963c-7e5db8a5706a,ae696776-3194-38b9-b554-46ff13a8f44d
c48dd1c6-9993-44c7-a15d-759dbde18fe9,3570cf3c-2107-44eb-bbbb-9cae5c6d6bac,a2a81194-7718-051f-baa4-9dc4291ce04d
4f73b155-15c4-4d1d-a435-be7bb6a9f63a,3284170f-a921-4048-bbda-956a81d73332,d8863f32-e3ab-864a-4333-b489834fd3f0
bc286187-48f7-412e-aae3-fcf0e4a797d5,35ffe0ab-e8c2-4506-9002-c563eae35f1d,e64f2a1f-e44f-8030-7e7a-8a490e0c346e
09818acb-e883-43dd-9eb8-a616b33fc438,31195f53-3445-160c-730f-435e08e8ccaa,1cab8c9a-46d7-aa53-3aed-2d7e1bd4fa40
72ddcdae-8199-483e-a4b5-a8c01d061d15,329feef6-858f-4f28-80d5-220205f7427b,be369db4-e07f-f35f-b870-40d4bed2f62a
4d0e5c12-b94c-4bab-b044-206add6396d9,3150cd7c-1e52-afd3-4965-430083bfab3f,60fcb8e9-022b-7871-5715-f53f03f7b3d7
528f82ec-3214-41f3-b038-f305f223a2ac,338df7f3-9cdd-471e-b204-abb6f5428318,b04cbe43-2bd4-841c-1dde-0bbde7b40d74
cc83cb7a-dcc3-489b-bd51-f5c2f285117b,31b61ac6-d735-4ff6-aea4-0b65269e4b63,a2a81194-7718-051f-baa4-9dc4291ce04d
