pkid,fkdevicepool,fkcallmanagergroup
ed485969-7396-4dc2-9471-41cbb8f3d1e4,417933e3-459f-4ff9-963c-7e5db8a5706a,e64d226d-1d88-a330-ae45-a66bd201b031
ac944292-4f72-47e2-bbd4-6eefe92a6964,3570cf3c-2107-44eb-bbbb-9cae5c6d6bac,70c197ba-8951-14ad-a270-b32053663da9
ffbe6918-3978-4152-bdb7-85bdb88f9d57,3284170f-a921-4048-bbda-956a81d73332,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
3b617a38-b361-4e90-8d33-298c3b94cf3d,35ffe0ab-e8c2-4506-9002-c563eae35f1d,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
41946b5f-1ffa-439d-a26c-00ee4d7541b9,31195f53-3445-160c-730f-435e08e8ccaa,e64d226d-1d88-a330-ae45-a66bd201b031
020ec768-3e9c-42f2-8641-4e4a0bfb54ff,329feef6-858f-4f28-80d5-220205f7427b,e64d226d-1d88-a330-ae45-a66bd201b031
b2dd67c0-7a9b-4206-8594-49f93f9900c6,3150cd7c-1e52-afd3-4965-430083bfab3f,70c197ba-8951-14ad-a270-b32053663da9
56be39e5-3883-421c-902e-f0c9f4921c67,338df7f3-9cdd-471e-b204-abb6f5428318,e64d226d-1d88-a330-ae45-a66bd201b031
c64153de-9951-4ea8-a365-e2f803cc8e30,31b61ac6-d735-4ff6-aea4-0b65269e4b63,70c197ba-8951-14ad-a270-b32053663da9
509842fe-cd79-4ad9-b774-b6bc14438cfc,4860667f-398f-45b3-b4df-99fc27a57b0f,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
33fc3f45-d2ac-4398-9d57-5d4a773c43c2,391c9d28-f65e-40e5-9575-2243ef21aea6,70c197ba-8951-14ad-a270-b32053663da9
71865ab7-e1d0-4936-959d-57ea5401fa65,38095be2-23d6-edc3-e90a-17198d4eb33e,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
39065b27-6b6b-4d05-bd8a-07ba1a062300,3b302d74-64c3-4b83-d594-9fc210dde1d9,70c197ba-8951-14ad-a270-b32053663da9
69e5356e-b337-43fb-b90e-58e487a7a8be,3c64d81c-62de-440d-aaf6-bee3d0388177,e64d226d-1d88-a330-ae45-a66bd201b031
c9e2c226-10e2-427d-99ec-835e3d314624,3b6258fc-237e-4102-8ac1-0841efdc9972,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
4fb5a3df-37ee-49c3-9167-e10c083493f6,3ca8d938-0873-49ca-9a15-0cc1efa7b0f1,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
f419d4d1-b4ee-48d8-88a7-b68f85b9f0d7,3785e8f6-8619-48e3-a2ce-0f50038ba00c,70c197ba-8951-14ad-a270-b32053663da9
b3932f74-e80a-4c83-b41e-f7463fa8510c,36eb1b55-11e0-46a7-9bab-f85a6cd491a1,e64d226d-1d88-a330-ae45-a66bd201b031
43c2ab9e-4629-4a70-9251-6bd27208938d,3f7e557d-0f1a-4453-8ccf-0e999e291de0,70c197ba-8951-14ad-a270-b32053663da9
410866f5-b3bb-4f2c-86a9-be137deca95e,3fdd5a65-f14a-4360-b1c1-f3362de8216f,70c197ba-8951-14ad-a270-b32053663da9
9fef5524-e097-4998-b310-8296e2bdfbe2,3d48904d-aada-486a-8c74-1684221b890a,8578e802-08ab-1d2b-e599-c3b247d9165c
f3d16e70-80f1-49b5-9064-e7f2bc41361c,4a9c6a81-4581-52ca-a983-f3d4caa02b5a,e64d226d-1d88-a330-ae45-a66bd201b031
81fe0ccf-f95c-4115-8f4b-a5d96f44ef21,4f749e89-3fc6-4a91-a19b-6ed6406f3c59,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
f35dbcc8-47a1-4a1c-af69-70ae7656476b,4c7c5757-43dc-40d3-8cc5-81e128256090,70c197ba-8951-14ad-a270-b32053663da9
ab364584-83e5-4bf9-acd1-ae80c6061429,4c2e4153-5fbe-4367-971a-1a81d9bf596d,e64d226d-1d88-a330-ae45-a66bd201b031
66b59855-ca0d-44fe-b716-ceb802a4c3da,4d4eec49-a02b-193b-2d2f-3c58e0057d8d,e64d226d-1d88-a330-ae45-a66bd201b031
84e8396f-9045-4f2e-8ad7-00ca5014c8ee,4fe52a6b-d664-4c83-b9c4-8c73eeeabba4,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
27bd99d6-ccd6-45bc-9e54-971fcf7f870f,4c690a58-4aa0-44e7-bcf6-7ae5946517bd,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
fe8d794f-e8ae-498f-a346-7588c7f59b3f,4f633b9a-8185-7815-b24a-a3c9983242b9,70c197ba-8951-14ad-a270-b32053663da9
93d3185c-a641-4cbf-b98c-b908d81da60b,55950ca9-1246-47d1-8356-9fe7a15bb993,e64d226d-1d88-a330-ae45-a66bd201b031
1a651062-8588-4b8c-8e13-92db1a2dd8a9,57690b85-d826-4d07-a555-71b39bdbc320,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
b420922a-3a0c-4c1f-ba1a-79b4de9102d6,42a0f76c-8e7f-426c-b863-5697eac6aec4,70c197ba-8951-14ad-a270-b32053663da9
2e511a23-1672-4ea3-a250-fbb668433f17,41ff98ea-6d56-4f9e-8865-932dd7acea0f,8578e802-08ab-1d2b-e599-c3b247d9165c
cba26ccb-c61c-4be0-b2b9-b0589bab61e5,41a795d5-079d-49b8-9d05-f804dee1d6cc,8578e802-08ab-1d2b-e599-c3b247d9165c
c13fdb09-a7e7-4747-9b86-ca3d9dce4d02,5dedc8b8-efcc-4703-a256-95737f0a7524,e64d226d-1d88-a330-ae45-a66bd201b031
04d9f228-2b82-4bba-8c6c-762a0e32cc60,5b227381-2c4f-68e3-5a5f-fd55f46ffedc,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
748bae49-d45b-46f2-811e-226b495a44b1,5b0bd578-5984-6c3e-7dd3-0e127174ffb0,e64d226d-1d88-a330-ae45-a66bd201b031
a585d444-ee6f-4724-8adf-822662a55cb2,5aa2f692-a647-4c84-82fe-863d32b07c64,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
8469b957-8679-43a7-ab87-1a84f45f7890,5b6ab2f0-85f9-41e2-92f0-7d9ea9567baa,e64d226d-1d88-a330-ae45-a66bd201b031
264f5ac3-bac9-4c22-92e1-2bb5b06d1842,5c22a9d1-ab96-4476-971b-46fcf67e0f4b,e64d226d-1d88-a330-ae45-a66bd201b031
c6dacbb6-a170-45e1-9d3f-023eae216f35,5c48c21b-b4f0-406c-9b1e-775eb192f831,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
33d6a512-f9ab-48ae-b43c-9c1d7366f497,5bae251a-414f-49bd-b238-f7bd43e4a077,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
b72544f7-959d-4cfb-af38-1c28426dca00,5e607588-682f-b2e2-8222-fb88a4feb40d,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
