pkid,name,description,dialplanwizardgenid,fktimeschedule,tktimezone,useoriginatingdevicetimezone,resettoggle,tkreset,tkpartitionusage
7b73b4b7-3e16-4feb-961e-f2ee93269055,XFORM-AOOA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
e8298a91-729f-4d5e-9057-373c42234a4c,EWRGS_911_par,EWRGS_911_par,,,22,t,f,2,99
1f637135-89e2-4b07-9bc3-e90e646d1baa,XFORM-LCKR-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
4f36469b-4f88-4d50-ad23-c3a616e31967,FXG-FIELD-0026-APP-par,0026 Site Specific Dial Partition,,,22,t,f,2,99
e72c4fc0-50ca-4821-a406-78cceaec4adb,FXE-FIELD-A-BIL-APP_par,BIL Site Specific Dial Partition,,,22,t,f,2,99
7b4bfeb1-2024-4372-a18f-03edb225f5d7,FXE-DRTA_CngPTP-Xform-IN_par,FXE-DRTA CngPTP IN Transformation Partition,,,22,t,f,2,99
86ca5bd7-6e57-44b6-b6e9-904ef044c9b4,XFORM-MOBA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
72d65ad3-1837-4f86-a9a0-8c946bfd5618,XFORM-BXAA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
894d4d79-8867-453a-87fb-439a100eb801,XFORM-DROA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
4fbfb250-3b31-43f2-89bf-c65f93e5fd97,XFORM-DABA-MGCP-DNIS_par,DABA Contains per-site Called Party Transformation,,,22,t,f,2,99
3a1f74d2-c682-4995-98db-d9262b9df77c,FXE-DID-TVCA-Staging_par,TVCA Site Specific Dial Partition,,,22,t,f,2,99
cd0a2604-007b-44fa-984c-c0c17975694d,FXE-FIELD-A-HOBA-APP_par,HOBA Site Specific Dial Partition,,,22,t,f,2,99
