pkid,fklinegroup,selectionorder
8294e857-b120-9aca-0cbc-ed42eba40dbf,724b233c-a218-846b-3055-be7ac7b427c5,1
82ade78f-e993-d41a-9438-ce3a554f0133,311fbe6b-0a2e-08bb-fc65-4887c05a8b54,1
845abf8d-f111-7d7b-00a9-b95bb657515a,e879fe15-68fe-332e-1ccc-34c5afe87621,1
84a26c65-8962-e6a6-2e33-b95a76dfa73f,3bf4ecac-1b61-3a33-a6e4-3bb68720accb,1
84ff08e1-9279-42d4-b221-3ff0e5afee13,a717db24-531e-7a79-35d8-a4fc552bff15,1
8665519e-5a67-c9fb-e8d9-c4ca713b99f9,84559407-bbca-c19e-a00c-f5cfb808209e,1
8680cd24-eddf-0383-98b4-de614f720194,4994ccb3-eb38-1ef5-2823-f743b19ab107,1
8681da43-de83-350c-7c47-674bd849b5c9,516cc52d-673e-d5a5-472d-b5434ec2077a,1
871b6eb1-d8c0-e86d-a3a6-e028786fad4b,f3c7275c-eaf2-b0c0-8a7b-b9544ec05ec6,1
87337276-45f0-3ce8-8e99-17748e01aee3,a5c1ccff-7a94-365f-772c-34dd17a39da1,1
87891a48-0e9f-e569-1274-e409eff889c6,1f9f2077-05ad-223e-3c07-4fb4ccc22f80,1
89061a19-b61a-470d-ad72-4d269601ae8a,ba2c4f9f-c283-a717-ef79-96e918f8d0b7,1
89426a3b-5dc7-1db3-5c92-81874477b23a,55214df2-6f0c-c478-0093-44d05c52e6de,1
899ac3e9-956e-20f4-73b0-7dec05ba0d82,dbea45d3-91a1-74cd-4db3-1f240561ff4c,1
8a33b898-2242-b9fc-b7ca-9a83c42f0bb2,36f271e2-d899-8003-69c3-8924771f5b03,1
8a5cd627-0528-562d-0bd5-a719bde95c12,ba903835-b755-d6e2-b7cf-4781040cae21,1
8a9a64a5-ec41-1067-20c2-45c35e97eaf0,37619f4f-942d-4ab9-a615-10211657b0de,1
8ba0f0cc-2830-4e91-b88d-77aa3b401bc2,b2534906-a046-51f2-090d-f8c89fc27ba5,1
8be89f29-290f-6858-b200-577fac551488,2ef19874-6aa0-77dd-7a99-46a444a5a187,1
8c06997c-a48b-b546-d765-87cbcffc54a0,dbbbd1c6-69b9-ac58-3e0a-e12ff10f4b63,1
8c09e723-91b4-b4a5-f5c2-b6b7a600882a,a1c1c08e-fb21-772e-d316-a520c390398e,1
8c88d5f3-949c-8c72-f837-15e49fbcd186,7e90a121-ffcb-9d98-2bf2-2a57a10937ca,1
8c9187bb-7a9b-ea82-e1da-0e783075f0bb,3a7b913d-928a-d9f6-5ed9-3db3f6405e9a,1
8cfaf9f2-85f9-01a9-0f15-656e79b0f833,26fc88b9-adef-e407-f004-8540b8a0cfa5,1
8d40cd11-00c7-c146-828e-248a98d6685c,b48283f4-b876-8738-30f6-aebdd24d759d,1
8dd80f5e-0b1e-b637-4aca-923c11816a86,297823ff-2d58-1842-50ad-43f7bb8c975f,1
8e0760af-de29-a544-1033-bd5d1d8a5945,153ba1b7-d7a2-78c2-fe96-6584a8e38af9,1
8e2ddc2a-f852-42c1-a219-16dc6f3a6b17,4627c221-1ebc-677d-5ca8-6e8af8c08891,1
8f50ab99-cfca-cf8d-076f-2aa3613ebe01,e2f25fb6-db91-39e3-8fe3-20e111b02605,1
8fcbf711-7487-7387-3bfe-cc2214bc30ba,9f39be61-cf3d-6648-f45c-bfb6e4026589,1
90269b7c-d4cd-4402-a7a9-f2df269abe80,b54aa59c-4f9e-f98f-3616-394484fdd7d2,1
919f903b-b337-0744-3233-757bfcf7af99,30d0213c-c2bc-ad20-e727-162b70660a49,1
91cf82b8-0a8d-0f84-f9af-1101e1cffa27,df711604-af56-734d-557c-056229160002,1
91d6cd04-f536-f617-450e-5e4237c4b65b,19050f1c-7af3-65d6-4ad9-3c5b47fff41e,1
91f0541b-a63b-9068-9ae9-a4a49ee8c314,07cc1f3b-f31e-5f11-af96-7b582cf85344,1
91f73e21-f750-bdfa-1174-2a83417a113a,1466fb0e-558e-dbf3-d95b-a128e75b334b,1
93027218-f0af-442a-ac6b-6195125c7cf3,c8028374-72b5-0372-abf6-9129902ecf2b,1
93510728-0b3c-6212-166f-f46ec7539011,6453eedb-0d28-c1f6-1b2f-f0d6a7ecf9b7,1
9366b64c-4c84-f058-9e15-d7d71b64f7bd,bf800acd-2edf-ce4f-45b4-54726c4e8e33,1
9440f148-b1b7-4934-85f2-941ac1b34ca1,7c2c3907-a620-785e-272d-41ea970ab3d6,1
955561a1-c4cd-0488-5aaf-a1cad37ce556,0c073fb8-0f21-c06c-8619-bb464680ca98,1
95702f0b-668b-4134-bcef-082c64003736,c43468aa-8850-1928-1c8f-8f3df49ed4e0,1
958a3ab7-d0fb-c88c-8493-0d7dd9d1c00f,7905863f-1d94-9b5d-fefe-1a13c43b17d6,1
95eac443-a543-e2ec-11f7-8f2627bda5e4,cfc9fa01-a69f-fb40-d6ea-cb21cb95e367,1
96115646-eab6-b9c4-7829-c2956d4bd1d7,21deccba-43da-5035-612a-fe5c49efcc0b,1
96349bb0-9f8f-0eb2-1d08-8b7a7534b6ef,c57974ee-6174-a465-3446-e76a28ec214b,1
96894e2d-3797-eefb-9cca-5899fdf0e4dc,ad52fc8c-8340-3618-a769-0456086c54e3,1
96dc8f94-bc2c-4623-bd7a-85a55b118502,553fbba5-a9ba-4981-8b8f-aa3c5a7b7c67,1
9711f04f-d2c4-186a-d43f-16c50916f49e,c3da914c-9676-f852-37ba-bcffeb1a6ca0,1
97b3a3c8-cc5f-499b-d048-ce71e438254f,41f06194-1b38-8ef7-7b60-c21f8cecf55e,1
97cd2402-76d4-6cda-f388-d965809b4ad5,738db1e8-3243-7213-9835-fb46f0af7ff3,1
97f1a24e-7a68-649d-9224-de7ca8314a05,b81425bb-51ec-ac5f-c383-39b71c98c4d9,1
982e12f1-23fa-dbf8-a14b-3178cd6bda7d,ad657ba7-578c-86e3-f555-a5015eea96fd,1
98d0de6a-af01-2933-2d59-f5f52b663d55,0258211e-877b-d6a0-0f3a-0ce452982428,1
